Hypothesis,Test Name,Trait,R Squared,Adj. R Squared,F- Stats,Prob (F- Stat),Coef,t-value,P > |t|,Linearity,Independence of errors,Homoscedasticity,Normality of residuals,No multicollinearity,No influential outliers
H4.1,Personality Adjusted Messaging --> Perceived Personalization,OP,0.2498108706477019,0.09094729031427418,1.57248672177343,0.08610739806399155,8.007861534447262,0.685610341451122,0.4948245537762864,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,CO,0.2213855343741229,0.056502471065113746,1.342682079839951,0.18322297563311973,-10.439057225492661,-0.9407137105115824,0.34951738230995866,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,EX,0.30570202215757736,0.1586742150850644,2.079212281298649,0.013367323624334638,-1.5936417999849475,-0.12854012179235616,0.8980251989875601,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,AG,0.17906847674113013,0.0052241541686636195,1.030050760883985,0.43631540339320346,6.5460587011572855,0.5634800567763524,0.5745915771937109,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,OP,0.13637797188212142,-0.04650669289578224,0.7457047973253507,0.7547523020306952,5.282918128978935,0.5094242336607704,0.6117749283853957,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,CO,0.2221060905855582,0.057375615650735234,1.3482999467672045,0.1800492695729579,-2.1186720296672554,-0.20279360305091956,0.8397809996951079,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,EX,0.21598205805605852,0.04995472917381216,1.3008825686115932,0.20828716138817158,-7.615117267641903,-0.6933475169722756,0.48998178802884995,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,AG,0.16514772744293793,-0.011644518510322222,0.9341344500289861,0.5411199967070551,7.347916966732027,0.7211742654355091,0.4727812653876692,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,OP,0.19914712029783876,0.02955474577267525,1.1742693081303008,0.30068002299345586,-1.6166988168263714,-0.13788157816184338,0.8906601177127234,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,CO,0.18911688744487942,0.017400463609677508,1.1013325529442477,0.36543064685293314,-12.165462898384076,-1.0495540970447614,0.2968981703705959,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,EX,0.2653253154665106,0.10974714697706589,1.7054148280741046,0.05393654187676595,-13.837005747907323,-1.1522252071705354,0.25245889420764345,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,AG,0.14584682618797717,-0.03503266944280403,0.8063203940245706,0.6877543139429836,12.159465496151482,1.0450044941019092,0.2989836693614886,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,OP,0.1638111248199401,-0.01326416639466066,0.925093070277175,0.551391148035502,-1.254333616312156,-0.09090030625125001,0.9277856788614428,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,CO,0.220260360892241,0.05513902555177441,1.3339303515083756,0.18825785136349354,-11.04327338615356,-0.8536325295769046,0.39570789016921104,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,EX,0.2907009132386996,0.14049640074807135,1.9353673762420238,0.02311854592056076,-13.80328686570854,-1.042848754908833,0.2999753080599906,,,,,,
H4.1,Personality Adjusted Messaging --> Perceived Personalization,AG,0.13821645547620898,-0.04427888336412322,0.7573697846449465,0.7421779887116435,12.031724280693943,0.9079293541360571,0.36648251616059313,,,,,,
